Course Title,Provider,Academic Year,Subjects,Study Options,Duration,Location
Biochemistry,London Metropolitan University,2024,"Biochemistry, Science, Molecular biochemistry, Biochemical endocrinology",Part-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Holloway, 166-220 Holloway Road, , Islington, N7 8DB, Unknown"
Biomedical and Healthcare Engineering with Foundation,"City, University of London",2024,"Biomedical engineering, Biological sciences, Biomedical sciences, Computer engineering, Electrical engineering, Electronic engineering, Health science",Full-time including foundation year,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, The Admissions Office, , London, EC1V 0HB, Unknown"
Chemistry,University of East Anglia UEA,2024,"Chemistry, Biochemistry, Pharmacology, Pharmacy, Natural science",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, University of East Anglia, None, Norwich, NR4 7TJ, Unknown"
Biology and Marine Biology,University of Southampton,2024,"Marine biology, Biology, Ecology, Marine Conservation",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site - Highfield Campus, Highfield, None, Southampton, SO17 1BJ, Unknown"
Physics,University of Bristol,2024,Physics,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Beacon House, , Bristol, BS8 1QU, Unknown"
Accounting,University of Hertfordshire,2024,"Accounting, Business studies",Sandwich,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, University Admissions Service, , Hatfield, AL10 9AB, Unknown"
Architecture,University of Wales Trinity Saint David,2024,"Architecture, Architectural technology, Environmental design, Architectural conservation",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","SA1 Waterfront Campus, Swansea, UWTSD, , Swansea, SA1 8AL, Unknown"
Administration and Information Technology,University of the Highlands and Islands (UHI),2024,"Administration, Business information technology, Business computing, Microsoft Office, Mailmerge, Spreadsheets, Bookkeeping, Office skills, Customer services, Communication skills, Business law, Management, Leadership, Human resource management, Decision making, Information technology",Full-time,"{'quantity': 2, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Argyll, UHI Argyll, , Oban, PA34 4RY, Unknown"
Computer Science (Artificial Intelligence) with Study Abroad,University of Hull,2024,"Computer science, Artificial intelligence, Computer information systems, Computer programming, Information systems, Information technology, Informatics, Information science",Full-time with time abroad,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","The University of Hull, Cottingham Road, None, Hull, HU6 7RX, Unknown"
Anthropology,University of Sussex,2024,"Anthropology, Social anthropology, Ethnology, International studies, Social studies, Third world studies, Community studies, Social research",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Sussex House, Falmer, Brighton, BN1 9RH, Unknown"
Digital Design,Brunel University London,2024,"Multimedia studies, Animation, Artificial intelligence, Augmented reality, Computer graphics, Digital Media, Graphic design, Internet of things, Media studies, Motion graphics, Video production, Virtual reality systems design, Visual communication, Digital imaging, User centred design, Video studies, Web design, Internet technology, Media design, Computer games, Computer programming, Audio-visual studies, Visual arts",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Kingston Lane, None, Uxbridge, UB8 3PH, Unknown"
Animal Science (Livestock Technology),ARU Writtle (formerly Writtle University College) ,2024,"Animal production, Farming, Animal husbandry, Animal welfare, Food, Animal science, Animal nutrition, Agriculture, horticulture and veterinary studies, Animal behaviour, Animal health, Animal breeding, Animal biology",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Writtle, None, Chelmsford, CM1 3RR, Unknown"
Bioscience and Health,"Birkbeck, University of London",2024,"Epidemiology, Public health, Biology, Biological sciences, Molecular biology, Health and disease, Health studies, Human biology",Part-time,"{'quantity': 6, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Malet Street, None, London, WC1E 7HX, Unknown"
Biology,Edge Hill University,2024,"Biology, Science, Applied biology, Evolutionary biology, Ecology, Human biology, Nutrition, Marine biology, Field biology, Molecular biology, Molecular genetics, Biochemistry, Health and disease, Exercise and fitness, Genetics, Environmental studies, Pathology, Botany",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Ormskirk (Main Campus), St Helens Road, None, Ormskirk, L39 4QP, Unknown"
Criminology,University of Derby,2024,"Criminology, Forensic science, Sex discrimination, Police studies, Youth development",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Kedleston Road, None, Derby, DE22 1GB, Unknown"
"Food, Nutrition and Human Health",Robert Gordon University,2024,"Nutrition, Food, Food science, Public health, Food microbiology, Anatomy, Physiology",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site - Aberdeen, Garthdee House, , Aberdeen, AB10 7QB, Unknown"
Maritime Operations Management (Nautical Science) (Top Up),Blackpool and the Fylde College,2024,"Science, Nautical science, Navigation, Mathematical methods",Full-time,"{'quantity': 1, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Nautical Campus, Broadwater, None, Fleetwood, FY7 8JZ, Unknown"
Air Transport Management with Air Transport Pilot Licence (frozen),University of West London,2024,"Air transport management, Aviation, Airport planning, Transport, Distribution, Logistics, Purchasing, Supply chain management, International transport, Navigation, Transport administration, Transport planning",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main site - West London, St Mary's Road, None, London, W5 5RF, Unknown"
Sociology,Cardiff University,2024,"Sociology, Social studies",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site - Cardiff, 30-36 Newport Road, None, Cardiff, CF24 0DE, Unknown"
Physics,The University of Edinburgh,2024,Physics,Full-time,"{'quantity': 5, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Central area campus, George Square, None, Edinburgh, EH8 9JZ, Unknown"
Biology,Manchester Metropolitan University,2024,"Biology, Science, Microbiology, Genetics, Ecology, Biological sciences, Natural science",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Academic Division, All Saints, Manchester, M15 6BH, Unknown"
International Relations,"King's College London, University of London",2024,"International relations, International economics, International security, Politics, Human rights, War studies, Political economy, Social sciences, International studies, Diplomatic studies, Government, International business studies",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Strand, None, London, WC2R 2LS, Unknown"
Law,"University Centre Leeds, Leeds City College",2024,"Law, Legal practice, Legal studies, Criminal law, Human rights law",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","University Centre, University Centre, , Leeds, LS3 1AA, Unknown"
Biomedical Science with STEM Foundation Year,Edge Hill University,2024,"Biology, Applied biology, Biochemistry, Evolutionary biology, Health and disease, Science, Biomedical sciences, Biotechnology, Food microbiology, Genetics",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Ormskirk (Main Campus), St Helens Road, None, Ormskirk, L39 4QP, Unknown"
Mathematics,Aberystwyth University,2024,"Mathematics, Applied statistics, Algebra, Pure mathematics, Mathematical statistics, Applied mechanics, Decision making, Calculus, Applied mathematics, Mathematical logic, Statistics",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site (Aberystwyth), Penglais Campus, , Aberystwyth, SY23 3DD, Unknown"
Engineering,Lincoln College University Centre,2024,Engineering,Full-time,"{'quantity': 1, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Monks Road, None, Lincoln, LN2 5QH, Unknown"
English and Film Studies,Queen Mary University of London,2024,"Film studies, Video production, Film production, Comparative literature, Literature, Eighteenth-century literature, European literature, Medieval European literature, Literary studies, Modern literature, Literary criticism, English literature, Medieval English literature, Critical theory, Literary research, English",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Mile End Road, None, London, E1 4NS, Unknown"
Business Management,Falmouth University,2024,"Management, Business innovation, Entrepreneurial studies, Business studies",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Penryn Campus, Penryn Campus, , Penryn, TR10 9EZ, Unknown"
Occupational Therapy,University of South Wales,2024,"Occupational therapy, Health care, Social care, Community health, Global Health, Ethics, Law, Critical thinking, Rehabilitation",Part-time,"{'quantity': 4.5, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Pontypridd, University of South Wales, None, Pontypridd, CF37 1DL, Unknown"
Architecture,University for the Creative Arts,2024,"Design, Construction, Architecture, Architectural acoustics, Architectural building studies, Architectural engineering, Architectural history, Architectural management, Architectural practice, Architectural technology, Architectural conservation, Industrial design, Spatial design, Creative studies, Interior architecture",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Canterbury, New Dover Road, None, Canterbury, CT1 3AN, Unknown"
Occupational Therapy,Birmingham Newman University,2024,"Occupational therapy, Nursing",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Birmingham Newman University, Genners Lane, , Birmingham, B32 3NT, Unknown"
Fine Art with Diploma in Creative Professional Development (including Year 0),Norwich University of the Arts,2024,"Fine art, Visual arts, Community arts, Creative arts, Design",Full-time,"{'quantity': 5, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Norwich University of the Arts, Francis House, , Norwich, NR2 4SN, Unknown"
International Relations,"Royal Holloway, University of London",2024,"International relations, Politics, British politics, Diplomatic studies, European politics, Comparative politics, Political theory, International security",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Royal Holloway, University Of London, , Egham, TW20 0EX, Unknown"
Wildlife Conservation and Ecology (including a Foundation Year),University Centre Reaseheath,2024,"Wildlife management, Environmental conservation, Ecology, Behavioural ecology, Animal behaviour, Animal science, Biodiversity",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","University Centre Reaseheath, Reaseheath College, None, Nantwich, CW5 6DF, Unknown"
Materials Science and Engineering with Industrial Experience,Queen Mary University of London,2024,"Materials science, Biomedical materials science, Ceramics, Ceramic technology, Electronic materials, Engineering, Engineering technology, Industrial chemistry, Metallurgy, Metals, Mineral engineering, Plastics, Plastics design, Polymer engineering, Science, Steel technology, Technology",Sandwich including industrial placement,"{'quantity': 5, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Mile End Road, None, London, E1 4NS, Unknown"
Anthropology and German,University of Aberdeen,2024,"Anthropology, German, Social anthropology, Social studies, Sociology, European languages, Language, Translation, Linguistics, Languages for business, Area studies, languages and literature, Social sciences",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, University Office, King's College, Aberdeen, AB24 3FX, Unknown"
Data Science,Lancaster University,2024,"Data analysis, Data processing, Data-processing management",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Admissions, , Lancaster, LA1 4YW, Unknown"
Data Science,UCL (University College London),2024,Applied statistics,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Admissions, , London, WC1E 6BT, Unknown"
Chemical Engineering,Queen Mary University of London,2024,"Chemical engineering, Engineering, Chemical process engineering, Chemical systems automation engineering, Fuel science, Gas engineering, Medical electronics, Medical technology",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Mile End Road, None, London, E1 4NS, Unknown"
Criminology,"Bristol, University of the West of England",2024,"Criminology, Criminal law",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Frenchay Campus, Coldharbour Lane, , Bristol, BS16 1QY, Unknown"
Biological Sciences (Biotechnology with Enterprise),University of Leeds,2024,"Science, Business studies, Management, Biotechnology, Biological sciences",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Woodhouse Lane, None, Leeds, LS2 9JT, Unknown"
Maritime Operations Management (Marine Engineering) (Top Up),Blackpool and the Fylde College,2024,"Marine engineering, Environmental engineering, Environmental protection, Engineering technology, Engineering technician studies, Offshore engineering, Technology",Full-time,"{'quantity': 1, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Nautical Campus, Broadwater, None, Fleetwood, FY7 8JZ, Unknown"
Criminology,University of Birmingham,2024,"Social sciences, Criminology",Full-time with time abroad,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Academic and Student Division, None, Birmingham, B15 2TT, Unknown"
Renewable and Sustainable Engineering (with Foundation Year),Wrexham University,2024,"Engineering, Technology, Energy engineering, Renewable energy, Energy conservation, Computer aided design, Computer aided engineering, Construction, Electrical engineering, Electronic engineering design, Energy, Energy economics, Energy efficiency, Energy law, Energy studies, Engineering design, Mechanical engineering design, Engineering mathematics, Environmental engineering, Environmental sustainability, Product design, Research methods, Engineering technology",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Wrexham (Main Campus), Wrexham Glyndwr University, None, Wrexham, LL11 2AW, Unknown"
Modern Languages and Media Studies,Bangor University,2024,"Modern languages, Media studies, Media production, French, Spanish, Italian, German, Chinese",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Bangor University, None, Bangor, Gwynedd, LL57 2DG, Unknown"
Software Engineering,University of Bradford,2024,"Software engineering, Information systems, Software, Computers, Computer engineering, Computer applications, Computer science, Computer control, Computer programming, Computer languages, Computer studies, Applied computer studies",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Richmond Road, None, Bradford, BD7 1DP, Unknown"
Drama and Music Production,Liverpool Hope University,2024,"Popular music, Drama studies, Acting, Creative arts, Drama in education, Drama therapy, Dramatic literature, Media production, Movement studies, Performing arts, Theatre design, Theatre production, Theatre sound, Theatre studies, Theatrical costume, Voice studies, Cultural history, Cultural studies, Music, Music appreciation, Music performance, Music theory, Musicology, Music Production",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Hope Park, Hope Park, None, Liverpool, L16 9JD, Unknown"
Electrical Engineering,Warwickshire College and University Centre,2024,Electrical engineering,Part-time,"{'quantity': 1, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Rugby College, Technology Drive, , Rugby, CV21 1AR, Unknown"
Archaeology,Canterbury Christ Church University,2024,"Archaeology, Archaeological method, Archaeometallurgy, Byzantine archaeology, Classical archaeology, Archaeological conservation, Egyptology, Environmental archaeology, European archaeology, Field archaeology, Funerary archaeology, Industrial archaeology, Landscape archaeology, Marine archaeology, Medieval archaeology, Palaeography, History, Heritage studies, Roman civilisation",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, North Holmes Road, None, Canterbury, CT1 1QU, Unknown"
Environmental Science,"Bristol, University of the West of England",2024,"Environmental science, Science",Sandwich,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Frenchay Campus, Coldharbour Lane, , Bristol, BS16 1QY, Unknown"
Business Management,Coventry University,2024,"Management, Business studies, Management services, Business statistics, Strategic management, Business consultancy",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Priory Street, None, Coventry, CV1 5FB, Unknown"
Animal Bioscience and Management,University Centre Askham Bryan,2024,"Animal husbandry, Animal science, Biological sciences, Natural science, Biotechnology, Management, Environmental conservation, Environmental management, Environmental science",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Campus, University Centre Askham Bryan, None, York, YO23 3FR, Unknown"
Journalism and Media,Kingston University,2024,"Media studies, Journalism, Audio-visual studies, Broadcasting, Broadcast journalism, Communication skills, Digital Media, Media production, Publishing, Visual communication",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Yorkon Building, Kingston upon Thames, London, KT2 7LB, Unknown"
Food Science and Nutrition,University of Nottingham,2024,"Food science, Nutrition, Food, Food production, Food studies, Science, Chemistry, Food technology",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Sutton Bonington Campus, Sutton Bonington, , Loughborough, LE12 5RD, Unknown"
Biomedical Engineering,Queen Mary University of London,2024,"Biomedical engineering, Engineering, Biomechanics, Biomedical materials science, Biotechnology, Medical electronics, Medical technology",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Mile End Road, None, London, E1 4NS, Unknown"
"Art and Design (Art Practice, Fine Art)",Morley College London,2024,Fine art,Full-time,"{'quantity': 1, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Chelsea Centre for the Creative Industries, Hortensia Road, None, London, SW10 0QS, Unknown"
Osteopathic Medicine,Plymouth Marjon University,2024,"Physiotherapy, Clinical science, Osteopathy, Health care, Health studies, Occupational health, Occupational therapy, Primary health care, Community care, Complementary medicine, Chiropractic, Homeopathy, Health science, Orthopaedics, Paediatrics, Paramedical science, Podiatry, Supplementary medicine, Sports therapy, Exercise science, Sports massage, Rehabilitation, Community health, Health and fitness therapy, Health and disease, Public health",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Plymouth Marjon University, None, Plymouth, PL6 8BH, Unknown"
Software Engineering,University of Greenwich,2024,"Software engineering, Computer science, Computer engineering, Computer applications, Web design, Business information technology",Part-time,"{'quantity': 6, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","University of Greenwich (Greenwich Campus), Old Royal Naval College, , London, SE10 9LS, Unknown"
Education,Solent University (Southampton),2024,"Adult education, Education, Curriculum studies, Educational planning, Educational management, Policy studies, Research methods, Educational sociology",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, East Park Terrace, None, Southampton, SO14 0YN, Unknown"
Fine Art (with Integrated Foundation Year) (Canterbury),University for the Creative Arts,2024,"Arts, Fine art, Creative arts, Creative studies, Painting, Drawing, Modern art, Visual arts, Sculpture, Printmaking",Full-time including foundation year,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Canterbury, New Dover Road, None, Canterbury, CT1 3AN, Unknown"
Applied Education Studies,Nottingham College,2024,"Sociology, Social sciences, Health sociology, Social policy, Social research, Applied psychology, Occupational psychology, Applied social sciences, Social psychology, Mental health, Youth work, Psychology, Organisational behaviour, Family and personal care services, Medicine and health studies, Health studies, Community health, Community work, Family welfare, Hearing-impaired people, Disability studies, Health care, Health education, Occupational health, Primary health care, Social care, Child care, Community care, Visually-impaired children, Visually-impaired people, Social work, Rehabilitation, Residential care, Social work management, Social problems, Child protection, Educational welfare, Deaf studies, Social studies, Human rights, Urban studies, Youth studies, Youth development, Child studies, Applied sociology, Social administration, Social service planning, Housing, Public health, Public policy, Health visiting, Teaching, Teaching (FE teaching), Teaching (primary teaching), General primary (primary teaching), Information technology (primary teaching), Education, Study skills, Adult education, Bilingual education, Careers guidance, Educational counselling, Community education, Comparative education, Continuing education, Life skills, Educational management, Educational administration, Educational planning, Educational research, Educational studies, Educational technology, Learning, Educational assessment, Child development, Learning support, Hospital play specialist studies, Medical education, Multicultural education, Outdoor education, Survival, Outdoor pursuits, Playgroup practice, Special needs, Learning disability studies, Teaching the visually impaired, Teaching the hearing impaired, Special educational needs coordination, Teacher education, ICT for teachers, Curriculum studies, Pastoral care, Training, Industrial training, Training development, Training for trainers, Inclusive practice, Urban education, Basic skills, Numeracy, Literacy, English language teaching, TEFL, TESL, TESOL, Early childhood studies, Early years, Key skills, Playwork, Teaching assistant studies, Area studies, languages and literature, Area studies, Languages, Literature, Business and management, Humanities, Science (primary teaching), Art (primary teaching), Craft (primary teaching), Creative arts (primary teaching), Dance (primary teaching), Design (primary teaching), Drama (primary teaching), English (primary teaching), Environment (primary teaching), French (primary teaching), Geography (primary teaching), History (primary teaching), Humanities (primary teaching), Mathematics (primary teaching), Modern languages (primary teaching), Music (primary teaching), Nursery schools (primary teaching), Physical education (primary teaching), Religious education (primary teaching), Technology (primary teaching), Welsh (primary teaching), Gaelic (primary teaching), Teaching (secondary teaching), Citizenship (secondary teaching), Access, Vocational preparation, Polymaths, Science technicians",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","City Hub, Nottingham College - City Hub, , Nottingham, NG1 7HB, Unknown"
Film & Television Studies,University of Lincoln,2024,"Film studies, Television studies",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Lincoln (Main Site), Brayford Pool, , Lincoln, LN6 7TS, Unknown"
Mathematics,The University of Edinburgh,2024,Mathematics,Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Central area campus, George Square, None, Edinburgh, EH8 9JZ, Unknown"
Animal Management and Wildlife Conservation (Top-up),University Centre Somerset - Bridgwater & Taunton College,2024,"Animal welfare, Environmental conservation, Wildlife management, Environment",Full-time,"{'quantity': 1, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Cannington Campus, Rodway Hill, , Bridgwater, TA5 2LS, Unknown"
Engineering (General Engineering),BMet (Birmingham Metropolitan College),2024,"Electronic engineering, Mechanical engineering",Full-time,"{'quantity': 1, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","James Watt College, Aldridge Road, , Birmingham, B44 8NE, Unknown"
English Literature,Liverpool John Moores University,2024,"English literature, English, American literature, Literature, Classical literature, Comparative literature, European literature, Literary criticism, Critical theory, Literary research, Literary studies, Modern literature, Poetry, Romantic literature, Area studies, languages and literature, Sixteenth-century literature, Seventeenth-century literature, Eighteenth-century literature, Nineteenth-century literature, Commonwealth literature, Dramatic literature, Shakespeare studies, Medieval English literature",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Liverpool John Moores University, Student Recruitment and Admissions, Tithebarn Street, Liverpool, L2 2QP, Unknown"
Chemical Engineering,University of Leeds,2024,Chemical engineering,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Woodhouse Lane, None, Leeds, LS2 9JT, Unknown"
Anthropology,University of Winchester,2024,"Anthropology, Social anthropology, Biological anthropology, Anthropological archaeology",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Sparkford Road, None, Winchester, SO22 4NR, Unknown"
Creative Writing,Manchester Metropolitan University,2024,"English language, English, Creative writing, Poetry, Screenwriting, Humanities, Communication skills, Scriptwriting, Language, English literature, Dramatic literature",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Academic Division, All Saints, Manchester, M15 6BH, Unknown"
"Language, Culture and Society","London School of Economics and Political Science, University of London",2024,"Modern languages, Cultural studies, Sociology, French, German, Spanish, Mandarin, Russian",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Houghton Street, None, London, WC2A 2AE, Unknown"
Philosophy,Swansea University,2024,Philosophy,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Singleton Park Campus, Singleton Park, None, Swansea, SA2 8PP, Unknown"
International Social and Public Policy and Economics,"London School of Economics and Political Science, University of London",2024,"Social policy, Economics",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Houghton Street, None, London, WC2A 2AE, Unknown"
Journalism,University of Chester,2024,"Media studies, Journalism, Sound recording, Audio-visual studies, Broadcasting, Communication skills, Communication studies, Mass communication, Visual communication, Radio journalism, Television journalism, Broadcast journalism, Sports journalism, Media management, Video production, Television production, Audio production, Photo Journalism, Radio studies, Desktop publishing, Television studies, Video studies, Management, Entrepreneurial studies, Social Media, Multimedia studies, Digital Media",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Chester, Parkgate Road, None, Chester, CH1 4BJ, Unknown"
Economics,"City, University of London",2024,Economics,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, The Admissions Office, , London, EC1V 0HB, Unknown"
Creative Writing,West Dean College,2024,"Creative writing, Literature, Media studies, Publishing",Part-time,"{'quantity': 2, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","West Dean College, West Dean, West Sussex, Chichester, PO18 0QZ, Unknown"
Occupational Therapy  (Pre-Registration),London South Bank University,2024,"Occupational therapy, Occupational health",Full-time,"{'quantity': 2, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","LSBU Main Site - Southwark Campus, 103 Borough Road, None, London, SE1 0AA, Unknown"
Data Science,University of Sussex,2024,"Mathematics, Analytical mathematics, Applied mathematics, Calculus, Differential equations, Mathematical methods, Pure mathematics, Probability, Mathematical statistics, Data analysis",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Sussex House, Falmer, Brighton, BN1 9RH, Unknown"
Hospitality Management and Leadership,London College of Contemporary Arts,2024,Hospitality management,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Sceptre Court, Sceptre Court, 40 Tower Hill, None, London, EC3N 4DX, Unknown"
"Exercise, Health & Sports Performance",University Centre South Essex,2024,"Sports science, Exercise and fitness, Exercise science, Health and fitness therapy, Public health",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","University Centre Southend, Luker Road, None, Southend-on-Sea, SS1 1ND, Unknown"
Geography,University of Cambridge,2024,"Geography, Geographical methodology, Human geography, Physical geography, Social geography, Quaternary studies, Sedimentology, Climate studies",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Corpus Christi, Trumpington Street, None, Cambridge, CB2 1RH, Unknown"
Software Engineering,University of Northampton,2024,"Software engineering, Computer science",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Waterside Campus, , Northampton, NN1 5PH, Unknown"
Biological Sciences (Neuroscience),University of Leicester,2024,"Behavioural biology, Behavioural psychology, Biological sciences, Biology, Neurobiology, Physiology, Science",Full-time,,"Main Site, University Road, None, Leicester, LE1 7RH, Unknown"
